"ant","ts","fullID","freq","freq.sd","sig","sig.sd","noise","run.id","pos.in.run","slop","burst.slop","ant.freq"
4,1697171213.5971,252#407@166.38:8.9,5.898,0.00391,-72.5,6.17,-83.3,1789,12,0.0003,-0.0002,0
4,1697171222.4955,252#407@166.38:8.9,5.909,0.00504,-73.3,11.8,-81.8,1789,13,0.0003,0.0001,0
4,1697171231.3936,252#407@166.38:8.9,5.911,0.015,-74.4,17.3,-83.6,1789,14,0.0008,-0.0001,0
4,1697171240.2917,252#407@166.38:8.9,5.907,0.0126,-74,2.75,-82.3,1789,15,0.0006,-0.0002,0
4,1697171249.1898,252#407@166.38:8.9,5.905,0.00504,-73.5,12.9,-82.5,1789,16,0.001,0.0001,0
2,1697171249.1897,252#407@166.38:8.9,5.558,0.0189,-74.3,13.7,-83,1810,1,0.0006,0,0
4,1697171258.088,252#407@166.38:8.9,5.9,0.00391,-72.3,7.26,-82.6,1789,17,0.0003,-0.0001,0
2,1697171258.0878,252#407@166.38:8.9,5.567,0.00916,-72.4,7.09,-83.1,1810,2,0.0003,-0.0004,0
4,1697171266.9861,252#407@166.38:8.9,5.898,0.011,-73.5,3.49,-82.7,1789,18,0.0003,-0.0001,0
2,1697171266.9861,252#407@166.38:8.9,5.545,0.0126,-70.1,9.36,-82.9,1810,3,0.0004,0.0001,0
4,1697171275.8841,252#407@166.38:8.9,5.911,0.00677,-73.2,11.6,-82.1,1789,19,0.0003,-0.0002,0
2,1697171275.8842,252#407@166.38:8.9,5.549,0.00575,-68.6,4.9,-82.7,1810,4,0.0004,-0.0002,0
2,1697171284.7823,252#407@166.38:8.9,5.556,0.0175,-67.1,33.5,-81.8,1810,5,0.0003,-0.0002,0
4,1697171284.7823,252#407@166.38:8.9,5.903,0.013,-73.4,12.8,-81.8,1789,20,0.0003,-0.0001,0
2,1697171293.6804,252#407@166.38:8.9,5.556,0.00695,-65.4,4.88,-83.5,1810,6,0.0003,-0.0001,0
4,1697171293.6804,252#407@166.38:8.9,5.893,0.00226,-73.3,12.5,-83,1789,21,0.0004,-0.0001,0
